------------------------------------------------------------------------------------
Process Automation : Mon_Nov_20_15.57.29_2023
------------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': '0.05859375 MB'}
{'name': 'svchost.exe', 'pid': 5268, 'username': None, 'vms': '4.17578125 MB'}
{'name': 'svchost.exe', 'pid': 5276, 'username': None, 'vms': '27.8125 MB'}
{'name': 'RtkAudUService64.exe', 'pid': 5288, 'username': None, 'vms': '2.93359375 MB'}
{'name': 'svchost.exe', 'pid': 5296, 'username': None, 'vms': '4.46875 MB'}
{'name': 'svchost.exe', 'pid': 5308, 'username': None, 'vms': '37.21484375 MB'}
{'name': 'AmanUpdateLogLT.exe', 'pid': 5316, 'username': None, 'vms': '11.8125 MB'}
{'name': 'svchost.exe', 'pid': 5324, 'username': None, 'vms': '3.03515625 MB'}
{'name': 'svchost.exe', 'pid': 5332, 'username': None, 'vms': '2.01171875 MB'}
{'name': 'svchost.exe', 'pid': 5340, 'username': None, 'vms': '1.5859375 MB'}
{'name': 'AsusSoftwareManagerAgent.exe', 'pid': 5376, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '39.10546875 MB'}
{'name': 'gameinputsvc.exe', 'pid': 5416, 'username': None, 'vms': '1.11328125 MB'}
{'name': 'ibtsiva.exe', 'pid': 5428, 'username': None, 'vms': '1.1484375 MB'}
{'name': 'AsusSystemDiagnosis.exe', 'pid': 5436, 'username': None, 'vms': '2.1171875 MB'}
{'name': 'AsusSoftwareManager.exe', 'pid': 5444, 'username': None, 'vms': '7.21484375 MB'}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 5452, 'username': None, 'vms': '41.19140625 MB'}
{'name': 'armsvc.exe', 'pid': 5472, 'username': None, 'vms': '1.3203125 MB'}
{'name': 'MsMpEng.exe', 'pid': 5488, 'username': None, 'vms': '321.11328125 MB'}
{'name': 'AsusLinkRemote.exe', 'pid': 5500, 'username': None, 'vms': '6.5078125 MB'}
{'name': 'AmanOnlineWT.exe', 'pid': 5508, 'username': None, 'vms': '9.765625 MB'}
{'name': 'ELANFPService.exe', 'pid': 5516, 'username': None, 'vms': '1.171875 MB'}
{'name': 'mDNSResponder.exe', 'pid': 5524, 'username': None, 'vms': '2.23046875 MB'}
{'name': 'AsusAppService.exe', 'pid': 5532, 'username': None, 'vms': '5.1171875 MB'}
{'name': 'AsusLinkNear.exe', 'pid': 5620, 'username': None, 'vms': '3.4375 MB'}
{'name': 'svchost.exe', 'pid': 5636, 'username': None, 'vms': '2.6953125 MB'}
{'name': 'ICEsoundService64.exe', 'pid': 5648, 'username': None, 'vms': '2.25 MB'}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 5664, 'username': None, 'vms': '32.296875 MB'}
{'name': 'RstMwService.exe', 'pid': 5688, 'username': None, 'vms': '1.4375 MB'}
{'name': 'AsusSystemAnalysis.exe', 'pid': 5712, 'username': None, 'vms': '4.0390625 MB'}
{'name': 'AsusSwitch.exe', 'pid': 5728, 'username': None, 'vms': '1.703125 MB'}
{'name': 'nvcontainer.exe', 'pid': 5736, 'username': None, 'vms': '11.8984375 MB'}
{'name': 'sqlwriter.exe', 'pid': 5764, 'username': None, 'vms': '1.84765625 MB'}
{'name': 'esif_uf.exe', 'pid': 5772, 'username': None, 'vms': '1.625 MB'}
